,Ticker,Score Final,Recomendación,% Subida a Máx,Crecimiento Futuro,País,Semáforo Riesgo,Contexto Global,Proyección 12M (%),Score Numérico Total,Fuente,Mínimo,Máximo,Actual,Forward EPS,Forward Revenue Growth,Margen Futuro,Sector,Tipo,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Revenue Growth YoY,Contexto,VIX,Riesgo País,Cobertura,Target Base 12M,Target Alcista 12M,Target Conservador,Justificación Score,Advertencia
54,FSLR,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,89.87,🟡 Moderado,usa,AMARILLO,Contexto Global: MODERADO,137.08,7,Yahoo Finance,11.77,300.71,158.38,20.86,6.4,,Technology,Acción,,13.456244,2.0745845,0.16766001,0.07502,-4.83,7.7,9.131,,1.464,0.064,"First Solar, Inc., una empresa de tecnología solar, proporciona soluciones de energía solar fotovoltaica (PV) en los Estados Unidos, Francia, India, Chile e internacionalmente. La compañía fabrica y vende módulos solares fotovoltaicos con una tecnología de semiconductores de película delgada que proporciona una alternativa de carbono inferior a los módulos solares de silicona cristalina convencional de silicio. También diseña, fabrica y vende módulos solares de telururo de cadmio que convierten la luz solar en electricidad. Las operaciones comerciales residuales de la compañía incluyen actividades de desarrollo de proyectos, operaciones y servicios de mantenimiento, y la venta de sistemas de energía solar fotovoltaica a clientes externos. Sirve a desarrolladores y operadores de sistemas, servicios públicos, productores de energía independientes, empresas comerciales e industriales y otros propietarios de sistemas. La compañía fue conocida anteriormente como First Solar Holdings, Inc. y cambió su nombre a First Solar, Inc. en 2006. First Solar, Inc. se fundó en 1999 y tiene su sede en Tempe, Arizona.",22.29,50,7/8,375.48,521.5,250.32,"EV/EBITDA < 15,ROE > 10%,P/E < 20,P/B < 3,Potencial subida > 40%,EPS futuro positivo,Contexto global favorable (+1)",
20,EDN,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,71.79,🟢 Alto,argentina,VERDE,Contexto Global: ADVERSO,-38.7,8,Yahoo Finance,1.71,62.55,36.41,1.24,48.3,,Utilities,Acción,,9.408269,0.019067768,0.16287,0.01916,-3235.77,27.112,0.414,,0.57,0.483,"Empresa Distribuidora y Comercializadora Norte Sociedad Anónima engages in the distribution and sale of electricity in Argentina. Empresa Distribuidora y Comercializadora Norte Sociedad Anónima was formerly known as Empresa Distribuidora Norte Sociedad Anónima and changed its name to Empresa Distribuidora y Comercializadora Norte Sociedad Anónima in January 1997. The company was founded in 1992 and is based in Buenos Aires, Argentina. Empresa Distribuidora y Comercializadora Norte Sociedad Anónima operates as a subsidiary of Empresa de Energía del Cono Sur S.A.",22.29,1450,7/8,22.32,31,14.88,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,P/E < 20,P/B < 3,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%",
2,META,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,17.38,🟢 Alto,usa,AMARILLO,Contexto Global: MODERADO,-27.38,8,Yahoo Finance,17.65,736.02,627.06,25.3,16.1,,Communication Services,Acción,0.71,24.513683,8.550391,0.39835,0.17879999,2.33,26.763,17.685,0.33,1.237,0.161,"Meta Platforms, Inc. se involucra en el desarrollo de productos que permiten a las personas conectarse y compartir con amigos y familiares a través de dispositivos móviles, computadoras personales, realidad virtual y auriculares de realidad mixta, realidad aumentada y wearables en todo el mundo. Funciona a través de dos segmentos, Familia de Aplicaciones (FOA) y Reality Labs (RL). El segmento FOA ofrece Facebook, que permite a las personas construir una comunidad a través de alimentos, carretes, historias, grupos, mercados y otros; Instagram que acerca a las personas a través de la alimentación de Instagram, las historias, los carretes, los vivos y los mensajes; Messenger, una solicitud de mensajería para que las personas se conecten con amigos, familiares, comunidades y negocios en plataformas y dispositivos a través de texto, audio y videollamadas; Threads, una aplicación para actualizaciones basadas en texto y conversaciones públicas; y WhatsApp, una aplicación de mensajería utilizada por personas y empresas para comunicarse y realizar transacciones de manera privada. El segmento RL proporciona productos relacionados con la realidad virtual, aumentada y mixta que comprenden hardware, software y contenido del consumidor que ayudan a las personas a sentirse conectados, en cualquier momento y en cualquier lugar. La compañía fue conocida anteriormente como Facebook, Inc. y cambió su nombre a Meta Platforms, Inc. en octubre de 2021. La compañía se incorporó en 2004 y tiene su sede en Menlo Park, California.",22.29,50,8/8,455.4,632.5,303.6,"ROE > 10%,ROIC > 8%,PEG Ratio razonable,FCF positivo,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
25,WMT,⭐⭐⭐ (3/5 - Aceptable),❌ Evitar,8.48,🔴 Bajo,usa,VERDE,Contexto Global: MODERADO,-49.18,7,Yahoo Finance,11.65,104.51,96.34,2.72,2.5,,Consumer Defensive,Acción,,41.17094,9.210324,0.21783,0.07089,1.27,74.138,19.682,0.98,0.699,0.025,"Walmart Inc. se dedica a la operación de tiendas y clubes minoristas y mayoristas, sitios web de comercio electrónico y aplicaciones móviles en todo el mundo. La compañía opera a través de tres segmentos: Walmart U.S., Walmart International y Sam's Club. Opera supercentros, supermercados, clubes de almacén, tiendas de efectivo y transporte, y tiendas de descuento bajo las marcas de Walmart y Walmart Neighborhood Market; Clubes de almacén de membresía solo; y sitios web de comercio electrónico, como walmart.com.mx, walmart.ca, flipkart.com, phonepe y otros sitios. La compañía también ofrece artículos de comestibles, que incluyen comestibles secos, bocadillos, lácteos, carne, productos, delicatessen y panadería, alimentos congelados, bebidas alcohólicas y no alcohólicas, así como consumibles, como ayudas de salud y belleza, suministros de mascotas, productos químicos para el hogar, productos de papel y productos para bebés; y combustible y otras categorías. Además, participa en la provisión de productos de salud y bienestar que cubren la farmacia, los servicios ópticos y auditivos, los medicamentos de venta libre y los productos de proteínas y nutricionales; y hogar, líneas duras y artículos de temporada, que incluyen mejoras en el hogar, vida al aire libre, jardinería, muebles, ropa, joyas, herramientas y equipos de energía, artículos para el hogar, juguetes y colchones. Además, la compañía ofrece electrónica y accesorios de consumo, software, videojuegos, suministros de oficina, electrodomésticos y tarjetas de regalo de terceros. Además, opera plataformas de pago digital; Ofrece servicios financieros y productos relacionados, que incluyen transferencias de dinero, pagos de facturas, pedidos de dinero, cobro de cheques, acceso prepago, tarjetas de crédito de marca compartida, préstamos a plazos y acceso salarial ganado; y comercializa líneas de mercancías bajo marcas privadas y con licencia. La compañía fue conocida anteriormente como Wal-Mart Stores, Inc. y cambió su nombre a Walmart Inc. en febrero de 2018. Walmart Inc. fue fundada en 1945 y se basa en Bentonville, Arkansas.",22.29,50,7/8,48.96,68,32.64,"Beta <= 1,ROE > 10%,FCF positivo,Dividendo > 2%,EPS futuro positivo,Sector estratégico,Contexto global favorable (+1)",
47,PYPL,⭐⭐⭐ (3/5 - Aceptable),❌ Evitar,341.7,🔴 Bajo,usa,ROJO,Contexto Global: MODERADO,26.01,7,Yahoo Finance,30.63,308.53,69.85,4.89,1.2,,Financial Services,Acción,0.35,15.69663,3.3763535,0.22198999,0.04448,2.56,66.041,11.001,,1.511,0.012,"PayPal Holdings, Inc. opera una plataforma de tecnología que permite pagos digitales para comerciantes y consumidores en todo el mundo. Opera una red de dos lados a escala que conecta a los comerciantes y consumidores que permiten a sus clientes conectarse, transactar y enviar y recibir pagos a través de en línea y en persona, así como transferir y retirar fondos utilizando varias fuentes de financiación, como cuentas bancarias, saldo de cuenta de PayPal o Venmo, productos de crédito de consumo, crédito y debites de debit, y cursos, así como otros productos de valor almacenados, incluidas las cartas de regalos y las tarjetas de regalos eligibles. La compañía proporciona soluciones de pago bajo los nombres de PayPal, PayPal Credit, Braintree, Venmo, Xoom, Zettle, Hyperwallet, Honey y Payy. La compañía fue fundada en 1998 y tiene su sede en San José, California.",22.29,50,8/8,88.02,122.25,58.68,"EV/EBITDA < 15,ROE > 10%,PEG Ratio razonable,FCF positivo,P/E < 20,Potencial subida > 40%,EPS futuro positivo,Penalización sectorial por usa/financial services (-1),Contexto global favorable (+1)",
55,ENPH,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,747.63,🟢 Alto,usa,ROJO,Contexto Global: MODERADO,66.2,7,Yahoo Finance,0.7,336,39.64,3.66,35.199999999999996,,Technology,Acción,,36.36697,6.4142394,0.17132,0.03012,6.89,152.289,21.987,,1.801,0.352,"Enphase Energy, Inc., junto con sus subsidiarias, diseña, desarrolla, fabrica y vende soluciones de energía en el hogar para la industria solar fotovoltaica en los Estados Unidos e internacionalmente. La compañía ofrece un microinversor basado en semiconductores que convierte la energía en el nivel de módulo solar individual y se combina con sus tecnologías patentadas de redes y software para proporcionar monitoreo y control de energía. También proporciona unidades de microinverter y accesorios relacionados; Batería de coeficiente intelectual y accesorios relacionados; IQ Gateway e IQ Energy Router; servicio de monitoreo iluminado basado en la nube; y soluciones de carga de vehículos eléctricos, así como servicios de diseño, propuesta, permisos y generación de leads. La compañía vende sus soluciones a distribuidores solares; y directamente a grandes instaladores, fabricantes de equipos originales, socios estratégicos y propietarios de viviendas, así como a través de su programa de actualización de productos heredado o tienda en línea. Enphase Energy, Inc. se incorporó en 2006 y tiene su sede en Fremont, California.",22.29,50,7/8,65.88,91.5,43.92,"ROE > 10%,FCF positivo,FCF > 5%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
49,ITUB,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,2.41,🟡 Moderado,brazil,VERDE,Contexto Global: MODERADO,138.2,7,Yahoo Finance,1.75,6.81,6.65,0.88,6.4,,Financial Services,Acción,1.36,9.637681,0.35653013,0.21149,0.01582,,,,5.68,0.342,0.064,"Itaú Unibanco Holding S.A. proporciona varios productos y servicios financieros a clientes personales y corporativos en Brasil e internacionalmente. Opera a través de tres segmentos: banca minorista, banca mayorista y actividades con la corporación Market +. La compañía ofrece una cuenta corriente; préstamos; Tarjetas de crédito y débito; servicios de inversión y banca comercial; Servicios de préstamos y financiamiento inmobiliarios; aviso económico, financiero y de corretaje; y servicios de arrendamiento y divisas. La compañía también ofrece productos de seguro no de vida que cubren pérdidas, daños o responsabilidades para objetos o personas, así como productos de seguro de vida que cubren la muerte y los accidentes personales. Sirve a clientes minoristas, titulares de cuentas y que no tienen cuenta, individuos y entidades legales, clientes de altos ingresos, microempresas y pequeñas empresas, así como compañías de mercado medio y clientes institucionales de alto patrimonio neto. La compañía fue conocida anteriormente como Itaú Unibanco Banco Múltiplo S.A. y cambió su nombre a Itaú Unibanco Holding S.A. en abril de 2009. La compañía fue incorporada en 1924 y tiene su sede en São Paulo, Brasil. Itaú Unibanco Holding S.A. es una subsidiaria de IUPAR - Itaú Unibanco participações S.A.",22.29,260,7/8,15.84,22,10.56,"Beta <= 1,ROE > 10%,PEG Ratio razonable,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Penalización sectorial por brazil/financial services (-1),Contexto global favorable (+1)",
35,NUE,⭐⭐⭐ (3/5 - Aceptable),❌ Evitar,82.24,🔴 Bajo,usa,ROJO,Contexto Global: MODERADO,55.3,7,Yahoo Finance,21.65,197.71,108.49,9.36,-3.8,,Basic Materials,Acción,,19.134039,1.2473986,0.074039996,0.0387,0.78,37.319,8.463,2.03,1.747,-0.038,"Nucor Corporation se dedica a la fabricación y venta de productos de acero y acero. La compañía opera en tres segmentos: molinos de acero, productos de acero y materias primas. El segmento de acero de las fábricas produce productos de acero de lámina enrollados, rodados en frío y galvanizados; Productos de acero de placa; Vigas de flan ancha, espacios en blanco de haz y productos de acero estructural de pilas H y acumulación de láminas; y productos de acero de barra, como flores, palanquillas, refuerzos de concreto y barras comerciales, y productos de calidad de barra especial diseñada. También se involucra en los negocios de comercio de acero y distribución de barras de refuerzo. Este segmento vende sus productos a los centros de servicios de acero, fabricantes y fabricantes en los Estados Unidos, Canadá y México. El segmento de productos de acero ofrece viguetas de acero y vigas de vigueta, cubiertas de acero y tubos de torque galvanizados para usados ​​en matrices solares, tubos de acero de sección estructural hueca, conducto eléctrico, refuerzo de concreto fabricado acero, acero terminado, acero de acero, rejilla de acero y alambre y alambre y alambre, sistemas de construcción de metales, paneles de metales con acero, estantes, estragos, dolores de servicios y utilidades. transmisión. Este segmento también está involucrado en el negocio de distribución de acumulación. El segmento de materias primas produce hierro reducido directo (DRI); Corredores de metales ferrosos y no ferrosos, hierro de cerdo, hierro con briquetas calientes y DRI; suministra ferro-aleaciones; procesa chatarra ferrosa y no ferrosa; y se involucra en la producción de gas natural y el negocio de gas industrial. Este segmento vende su chatarra ferrosa a las fábricas de acero y fundiciones de horno de arco eléctrico para el proceso de fabricación; y chatarra no ferrosa a los productores de aluminio de aluminio, fundiciones de aluminio secundarias, molinos de acero y otros procesadores, y consumidores de varios metales no ferrosos. Nucor Corporation fue fundada en 1905 y tiene su sede en Charlotte, Carolina del Norte.",22.29,50,7/8,168.48,234,112.32,"EV/EBITDA < 15,FCF positivo,P/E < 20,P/B < 3,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro negativo,Contexto global favorable (+1)",
38,IRSA.BA,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,8.4,🟢 Alto,argentina,ROJO,Contexto Global: ADVERSO,-93.04,7,Yahoo Finance,2.42,1935,1785,6.9,82,,Real Estate,Acción,,8.071079,0.9901748,0.02271,0.03692,12.79,48.479,12.25,11.18,,0.82,"Las inversiones de IRSA representan la Sociedad de la Sociedad Anónima, junto con sus subsidiarias, se involucra en las actividades inmobiliarias diversificadas en Argentina. Opera a través de cinco segmentos: centros comerciales, oficinas, hoteles, ventas y desarrollos, y otros. La compañía está involucrada en la adquisición, desarrollo y operación de centros comerciales, edificios de oficinas y otras propiedades de centros comerciales que no sean para fines de alquiler. También adquiere y opera hoteles y resorts de lujo bajo los nombres de Intercontinental, Libertador y Llao Llao; desarrolla, construye y vende propiedades residenciales, incluidos los complejos de torres de apartamentos; y adquiere reservas de tierras no desarrolladas para futuros desarrollo o venta. Además, la compañía se involucra en el desarrollo y operación del estadio; y provisión de ¡AppA!, una plataforma de sistema de fidelización de clientes digitales, para el consumo en centros comerciales, uso de espacios de estacionamiento y redención de beneficios corporativos. La compañía se incorporó en 1943 y tiene su sede en Buenos Aires, Argentina. IRSA Inversiones Y Representaciones de la Sociedad Anónima opera como una subsidiaria de Cresud S.A.C.I.F. y A.",22.29,1450,6/8,124.2,172.5,82.8,"EV/EBITDA < 15,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Penalización sectorial por argentina/real estate (-1)",
36,MT,⭐⭐⭐ (3/5 - Aceptable),❌ Evitar,320.38,🔴 Bajo,luxembourg,ROJO,Contexto Global: MODERADO,137.75,8,Yahoo Finance,6.54,127.63,30.36,4.01,-9.1,,Basic Materials,Acción,,19.33758,0.4553499,0.02254,0.021760002,9.08,22.603,5.727,1.81,1.666,-0.091,"ArcelorMittal S.A., junto con sus subsidiarias, opera como compañías integradas de acero y minería en América, Europa, Asia y África. Ofrece productos planos semi-acabados, incluidas losas; Productos planos terminados que comprenden placas, bobinas y sábanas en caliente y en frío, bobinas y sábanas electroalvanizadas, bobinas y sábanas recubiertas de color; Productos largos semi-terminados, como flores y billets; Productos largos terminados que consisten en barras, rodajas de alambre, secciones estructurales, rieles, sábanas y productos de alambre; y tuberías y tubos sin costuras y soldados. La compañía también proporciona productos mineros, como bultos de mineral de hierro, multas, concentrados, gránulos y alimentos sinteros; y carbón coquito. Venta sus productos a varios clientes en las industrias automotrices, de electrodomésticos, ingeniería, construcción, energía y maquinaria a través de una organización de marketing centralizada y distribuidores. La compañía opera actividades mineras de mineral de hierro en Brasil, Bosnia, Liberia, México, Sudáfrica y Ucrania, así como en India y en Canadá. ArcelorMittal S.A. fue fundada en 1976 y tiene su sede en la ciudad de Luxemburgo, Luxemburgo.",22.29,400,7/8,72.18,100.25,48.12,"EV/EBITDA < 15,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro negativo,Contexto global favorable (+1)",
17,ENPH,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,747.63,🟢 Alto,usa,ROJO,Contexto Global: MODERADO,66.2,7,Yahoo Finance,0.7,336,39.64,3.66,35.199999999999996,,Technology,Acción,,36.36697,6.4142394,0.17132,0.03012,6.89,152.289,21.987,,1.801,0.352,"Enphase Energy, Inc., junto con sus subsidiarias, diseña, desarrolla, fabrica y vende soluciones de energía en el hogar para la industria solar fotovoltaica en los Estados Unidos e internacionalmente. La compañía ofrece un microinversor basado en semiconductores que convierte la energía en el nivel de módulo solar individual y se combina con sus tecnologías patentadas de redes y software para proporcionar monitoreo y control de energía. También proporciona unidades de microinverter y accesorios relacionados; Batería de coeficiente intelectual y accesorios relacionados; IQ Gateway e IQ Energy Router; servicio de monitoreo iluminado basado en la nube; y soluciones de carga de vehículos eléctricos, así como servicios de diseño, propuesta, permisos y generación de leads. La compañía vende sus soluciones a distribuidores solares; y directamente a grandes instaladores, fabricantes de equipos originales, socios estratégicos y propietarios de viviendas, así como a través de su programa de actualización de productos heredado o tienda en línea. Enphase Energy, Inc. se incorporó en 2006 y tiene su sede en Fremont, California.",22.29,50,7/8,65.88,91.5,43.92,"ROE > 10%,FCF positivo,FCF > 5%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
6,MSFT,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,3.07,🟡 Moderado,usa,VERDE,Contexto Global: MODERADO,-40.22,8,Yahoo Finance,17.42,464,450.18,14.95,13.3,,Technology,Acción,1.97,34.84365,10.396767,0.3361,0.14581999,1.64,32.626,22.6,0.74,0.985,0.133,"Microsoft Corporation desarrolla y admite software, servicios, dispositivos y soluciones en todo el mundo. El segmento de productividad y procesos comerciales ofrece Office, Exchange, SharePoint, Microsoft Teams, Office 365 Seguridad y cumplimiento, Microsoft Viva y Copilot de Microsoft 365; y servicios de consumo de oficina, como suscripciones de consumo de Microsoft 365, en las instalaciones con licencia de oficina y otros servicios de oficina. Este segmento también proporciona LinkedIn; y Dynamics Business Solutions, incluida Dynamics 365, un conjunto de aplicaciones inteligentes basadas en la nube en ERP, CRM, aplicaciones de energía y automatización de potencia; y aplicaciones ERP y CRM locales. El segmento de la nube inteligente ofrece productos de servidor y servicios en la nube, como Azure y otros servicios en la nube; SQL y Windows Server, Visual Studio, System Center y licencias relacionadas de acceso al cliente, así como Nuance y GitHub; y servicios empresariales que incluyen servicios de soporte empresarial, soluciones de la industria y servicios profesionales Nuance. El segmento de computación más personal ofrece Windows, incluidas las licencias OEM de Windows y otras licencias no voluminales del sistema operativo Windows; Comercial de Windows que comprende licencias de volumen del sistema operativo Windows, los servicios en la nube de Windows y otras ofertas comerciales de Windows; licencia de patentes; e Windows Internet de las cosas; y dispositivos, como accesorios de superficie, holojos y PC. Además, este segmento proporciona juegos, que incluye hardware y contenido de Xbox, y contenido de primera y terceros; Pase de juego Xbox y otras suscripciones, juegos en la nube, publicidad, regalías de disco de terceros y otros servicios en la nube; y publicidad de búsqueda y noticias, que incluye Bing, Microsoft News and Edge, y afiliados de terceros. La compañía vende sus productos a través de OEM, distribuidores y revendedores; y directamente a través de mercados digitales, tiendas en línea y minoristas. La compañía fue fundada en 1975 y tiene su sede en Redmond, Washington.",22.29,50,8/8,269.1,373.75,179.4,"Beta <= 1,ROE > 10%,ROIC > 8%,FCF positivo,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
14,YPFD.BA,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,30.08,🟢 Alto,argentina,VERDE,Contexto Global: ADVERSO,29.87,8,Yahoo Finance,62.95,55350,42550,3069.92,35.199999999999996,,Energy,Acción,,8.726004,1.3364903,0.14694999,0.03729,-8.65,86.139,6.32,,0.71,0.352,"YPF Sociedad Anónima, una compañía energética, se involucra en las actividades de petróleo y gas aguas arriba y aguas abajo en Argentina. Sus operaciones aguas arriba incluyen la exploración, explotación y producción de petróleo crudo y gas natural. Las operaciones posteriores de la compañía incluyen producción petroquímica y refinación de petróleo crudo; transporte y distribución de productos refinados y petroquímicos; Comercialización de petróleo crudo, productos petroquímicos y especialidades. Sus operaciones de gas y energía incluyen transporte, comercialización y distribución de gas natural; Operación comercial y técnica de terminales de regasificación; transporte, acondicionamiento, procesamiento y separación de gas natural; y generación de energía. La compañía tenía intereses en los campos de petróleo y gas. También tenía una red de distribución minorista y estaciones de servicio minorista. Además, la compañía posee y opera refinerías, así como mantiene las instalaciones terminales de los puertos argentinos. Además, participa en plantas de generación de energía; ofrece diesel, fertilizantes, lubricantes, productos fitosanitarios y bolsas de ascendencias; y suministros diesel, gasolina, combustible, carbón, asfaltos, parafina y azufre, CO2, aceite decantado y extracto aromático. La compañía se incorporó en 1977 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,7/8,55258.56,76748,36839.04,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,P/E < 20,P/B < 3,EPS futuro positivo,Crecimiento futuro > 10%,Sector estratégico",
13,CEPU,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,17.17,🟡 Moderado,argentina,VERDE,Contexto Global: ADVERSO,26.01,8,Yahoo Finance,1.66,15.9,13.57,0.95,5,,Utilities,Acción,0.35,43.774193,0.0100634135,0.06137,0.04842,6840.66,19.751,0.712,5.99,-0.033,0.05,"Central Puerto S.A. se involucra en las actividades de generación de energía eléctrica en Argentina. Funciona en cuatro segmentos: generación de energía eléctrica de fuentes convencionales; Generación de energía eléctrica de fuentes renovables; Transporte y distribución de gas natural; y actividad forestal. Los activos de generación de energía de la compañía incluyen ciclo combinado, turbina de gas y vapor, cogeneración, hidroeléctrica, turbina eólica y plantas de energía solar. También se involucra en el transporte y distribución de gas natural; silvicultura; y negocios mineros. La compañía se incorporó en 1992 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,8/8,17.1,23.75,11.4,"Beta <= 1,EV/EBITDA < 15,PEG Ratio razonable,FCF positivo,FCF > 5%,P/B < 3,Dividendo > 2%,EPS futuro positivo",
52,IBN,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,0,🟢 Alto,india,VERDE,Contexto Global: MODERADO,-14.16,7,Yahoo Finance,3.92,34.39,34.39,1.64,82,,Financial Services,Acción,1.32,20.716867,0.07803618,0.18226999,0.0218,,,,0.69,0.475,0.82,"ICICI Bank Limited, junto con sus subsidiarias, se dedica a la provisión de varios servicios bancarios y financieros a clientes minoristas y corporativos en India e internacionalmente. La compañía opera a través de la banca minorista, la banca mayorista, el tesoro, otras bancas, seguros de vida y otros segmentos. Acepta ahorros, salario, pensión, actual, comercio, depósito en garantía, moneda extranjera y cuentas de vostro, así como servicios de depósitos fijos, recurrentes, recurrentes y de seguridad. La compañía también ofrece préstamos para el hogar, el automóvil, el vehículo de dos ruedas, el personal, el oro y los comerciales comerciales, así como los préstamos contra valores y otros préstamos; Préstamos comerciales, que incluyen finanzas de capital de trabajo, préstamos a plazo, préstamos gratuitos, préstamos sin finanzas, finanzas para importadores y exportadores, e instalaciones de sobregiro, así como préstamos para nuevas entidades y deslizamientos de tarjetas; y crédito, débito, prepago, viajes, divisas y tarjetas corporativas. Además, ofrece billetera de bolsillos; productos de renta fija; productos de inversión, como fondos mutuos, esquemas de monetización de oro, ofertas públicas iniciales y otros servicios de inversión en línea; y Agri y negocios rurales, finanzas de agricultores, préstamos de tractores y servicios de micro banca. Además, la compañía proporciona servicios de gestión de cartera, comercio, cambio de divisas, casilleros, banca privada y NRI y gestión de efectivo; riqueza familiar y cuentas demat; Servicios de banca comercial y de inversión, mercado de capitales, custodia e institucional; Salud, accidente personal, incendio y seguro de automóvil, así como distribuye productos generales y de seguros de vida; y servicios bancarios de Internet, móviles y telefónicos. Además, ofrece servicios de inversión de valores, corretaje, negociación y suscripción; y banca comercial, fideicomiso, financiación de la vivienda, gestión de fondos de pensiones, gestión de activos, asesoramiento de inversiones, puntos de presencia y servicios de gestión de fondos de capital privado/capital de riesgo. La compañía fue fundada en 1955 y tiene su sede en Mumbai, India.",22.29,90,7/8,29.52,41,19.68,"Beta <= 1,ROE > 10%,PEG Ratio razonable,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Penalización sectorial por india/financial services (-1),Contexto global favorable (+1)",
11,PAM,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,15.2,🟢 Alto,argentina,VERDE,Contexto Global: ADVERSO,66.32,9,Yahoo Finance,2.85,94.88,82.36,7.61,30,,Utilities,Acción,,8.808556,0.030039603,0.19504,0.029660001,3281.84,48.97,1.145,,0.107,0.3,"Pampa Energía S.A. opera como una compañía eléctrica integrada en Argentina. La compañía opera a través de petróleo y gas; Generación; Petroquímicos; y Holding, Transporte y otros segmentos. Genera electricidad a través de plantas térmicas, plantas hidroeléctricas y parques eólicos con una capacidad instalada de 5.472 megavatios (MW). La compañía también explora y produce petróleo y gas en las provincias de Neuquén y Río Negro. Además, produce petroquímicos, como el estireno, el caucho sintético y el poliestireno. Además, la compañía opera y mantiene una red de transmisión de electricidad de alto voltaje de 22,396 km en Argentina. Además, tiene una concesión para el transporte de gas natural con 9,248 km de tuberías de gas en el centro, oeste y al sur de Argentina; y procesa y vende líquidos de gas natural en Bahía Blanca en la provincia de Buenos Aires, así como ofrece servicios de asesoramiento relacionados. La compañía fue conocida anteriormente como Pampa Holding S.A. y cambió su nombre a Pampa Energía S.A. en septiembre de 2008. Pampa Energía S.A. se incorporó en 1945 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,7/8,136.98,190.25,91.32,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,EPS futuro positivo,Crecimiento futuro > 10%",
